SPAC1006.05c
SPAC1071.05
SPAC1071.07c
SPAC1071.08
SPAC1093.03
SPAC10F6.03c
SPAC10F6.11c
SPAC1142.04
SPAC11E3.15
SPAC11G7.02
SPAC11G7.04
SPAC1250.05
SPAC12G12.03
SPAC12G12.08
SPAC12G12.13c
SPAC13D6.02c
SPAC13D6.03c
SPAC13D6.05
SPAC13F5.04c
SPAC13G6.01c
SPAC13G6.02c
SPAC13G6.07c
SPAC13G7.02c
SPAC144.10c
SPAC144.11
SPAC144.13c
SPAC14C4.14
SPAC1556.01c
SPAC15A10.15
SPAC16.05c
SPAC1635.01
SPAC16A10.04
SPAC16C9.04c
SPAC16E8.09
SPAC16E8.10c
SPAC1705.03c
SPAC1751.04
SPAC1782.04
SPAC1783.02c
SPAC1783.08c
SPAC17A5.14
SPAC17D4.04
SPAC17G6.06
SPAC17G6.11c
SPAC17G8.14c
SPAC17H9.13c
SPAC17H9.17c
SPAC1805.12c
SPAC1805.13
SPAC1805.15c
SPAC18G6.14c
SPAC1952.02
SPAC19B12.04
SPAC19B12.11c
SPAC19D5.06c
SPAC1B2.02c
SPAC1B3.09c
SPAC1B9.02c
SPAC1B9.03c
SPAC1D4.14
SPAC1F5.02
SPAC1F5.03c
SPAC1F7.05
SPAC1F7.13c
SPAC20G4.04c
SPAC20G8.05c
SPAC222.03c
SPAC222.04c
SPAC222.15
SPAC22A12.04c
SPAC22E12.06c
SPAC22E12.09c
SPAC22E12.13c
SPAC22E12.14c
SPAC22E12.17c
SPAC22E12.18
SPAC22F3.09c
SPAC22F3.12c
SPAC22F8.11
SPAC22F8.12c
SPAC22G7.02
SPAC22H10.07
SPAC22H12.02
SPAC22H12.04c
SPAC23A1.08c
SPAC23A1.11
SPAC23C11.12
SPAC23C11.15
SPAC23C4.13
SPAC23C4.15
SPAC23C4.17
SPAC23G3.06
SPAC23G3.10c
SPAC23H3.08c
SPAC23H3.11c
SPAC23H3.13c
SPAC23H3.14
SPAC23H4.17c
SPAC24B11.05
SPAC24B11.11c
SPAC24H6.04
SPAC24H6.07
SPAC25B8.05
SPAC25B8.06c
SPAC25G10.06
SPAC25G10.07c
SPAC26A3.01
SPAC26A3.04
SPAC26F1.06
SPAC27E2.06c
SPAC2C4.16c
SPAC2F3.03c
SPAC2F3.04c
SPAC2F3.10
SPAC2F3.17c
SPAC2F7.08c
SPAC2F7.10
SPAC2F7.17
SPAC30D11.12
SPAC31A2.08
SPAC31A2.11c
SPAC31A2.15c
SPAC31G5.03
SPAC31G5.13
SPAC31G5.17c
SPAC323.05c
SPAC328.03
SPAC343.09
SPAC3A11.12c
SPAC3A11.13
SPAC3A11.14c
SPAC3A12.10
SPAC3A12.12
SPAC3A12.15
SPAC3C7.14c
SPAC3F10.17
SPAC3F10.18c
SPAC3G6.10c
SPAC3G6.13c
SPAC3G9.03
SPAC3H5.05c
SPAC3H5.07
SPAC3H5.12c
SPAC3H8.05c
SPAC3H8.07c
SPAC458.02c
SPAC458.05
SPAC4A8.07c
SPAC4F10.06
SPAC4F10.09c
SPAC4F10.10c
SPAC4F10.19c
SPAC4G8.09
SPAC4G9.03
SPAC4G9.16c
SPAC4G9.17c
SPAC521.05
SPAC56E4.02c
SPAC56F8.03
SPAC56F8.09
SPAC57A10.02
SPAC57A7.12
SPAC589.04
SPAC5D6.01
SPAC5D6.05
SPAC5H10.11
SPAC5H10.13c
SPAC631.01c
SPAC631.02
SPAC637.06
SPAC637.11
SPAC644.06c
SPAC644.17c
SPAC664.02c
SPAC664.03
SPAC664.04c
SPAC664.05
SPAC664.10
SPAC683.02c
SPAC688.11
SPAC694.05c
SPAC694.06c
SPAC6B12.02c
SPAC6B12.06c
SPAC6B12.08
SPAC6B12.15
SPAC6F12.06
SPAC6F12.12
SPAC6F6.07c
SPAC6G10.02c
SPAC6G10.06
SPAC6G10.12c
SPAC6G9.09c
SPAC821.06
SPAC890.08
SPAC8C9.07
SPAC8C9.11
SPAC8C9.19
SPAC9.12c
SPAC959.07
SPAC959.08
SPAC9E9.10c
SPAC9G1.03c
SPAC9G1.04
SPACUNK4.06c
SPAP19A11.05c
SPAP27G11.07c
SPAP8A3.09c
SPAPB17E12.05
SPAPB17E12.13
SPAPB1A10.11c
SPAPB1E7.02c
SPAPB1E7.12
SPAPB2B4.03
SPAPJ698.02c
SPBC1105.04c
SPBC119.06
SPBC1198.10c
SPBC1198.12
SPBC11B10.04c
SPBC11B10.07c
SPBC11C11.02
SPBC11C11.05
SPBC11C11.07
SPBC11C11.09c
SPBC11G11.03
SPBC1215.02c
SPBC1271.12
SPBC1271.13
SPBC1271.15c
SPBC1289.03c
SPBC1289.13c
SPBC12C2.10c
SPBC12D12.04c
SPBC1306.01c
SPBC13E7.09
SPBC146.01
SPBC14C8.16c
SPBC14F5.12c
SPBC1539.01c
SPBC1604.05
SPBC1604.07
SPBC1604.11
SPBC1685.02c
SPBC1685.09
SPBC1685.10
SPBC1685.16
SPBC16A3.14
SPBC16A3.18
SPBC16C6.03c
SPBC16D10.11c
SPBC16E9.01c
SPBC16E9.11c
SPBC16G5.01
SPBC16G5.04
SPBC1703.03c
SPBC1703.06
SPBC1706.03
SPBC1709.17
SPBC1711.18
SPBC1718.03
SPBC1734.04
SPBC1734.11
SPBC1734.16c
SPBC1773.11c
SPBC1778.01c
SPBC17A3.06
SPBC17A3.09c
SPBC17D1.03c
SPBC17D1.06
SPBC17G9.02c
SPBC17G9.07
SPBC18E5.06
SPBC18H10.02
SPBC18H10.04c
SPBC18H10.12c
SPBC18H10.13
SPBC18H10.14
SPBC1921.03c
SPBC19C2.03
SPBC19C2.12
SPBC19F8.08
SPBC19G7.03c
SPBC19G7.07c
SPBC211.05
SPBC215.02
SPBC215.06c
SPBC21B10.10
SPBC21C3.04c
SPBC21C3.13
SPBC21C3.16c
SPBC21H7.03c
SPBC21H7.04
SPBC23E6.05
SPBC23E6.09
SPBC23G7.15c
SPBC24C6.03
SPBC24C6.11
SPBC25B2.04c
SPBC25B2.09c
SPBC25D12.03c
SPBC25D12.04
SPBC25H2.03
SPBC25H2.11c
SPBC26H8.05c
SPBC27B12.01c
SPBC28F2.06c
SPBC29A10.05
SPBC29A3.04
SPBC29A3.10c
SPBC29A3.12
SPBC29A3.14c
SPBC29A3.15c
SPBC29A3.18
SPBC2A9.08c
SPBC2A9.11c
SPBC2D10.10c
SPBC2D10.13
SPBC2F12.04
SPBC2F12.07c
SPBC2F12.17
SPBC2G2.01c
SPBC2G2.05
SPBC30D10.08
SPBC30D10.18c
SPBC32F12.04
SPBC32F12.06
SPBC32H8.11
SPBC32H8.12c
SPBC336.12c
SPBC337.14
SPBC342.06c
SPBC354.07c
SPBC354.10
SPBC365.02c
SPBC365.03c
SPBC365.10
SPBC3B8.06
SPBC3B9.14c
SPBC3B9.17
SPBC3D6.11c
SPBC3D6.15
SPBC3E7.01
SPBC3E7.10
SPBC3H7.03c
SPBC3H7.04
SPBC4.07c
SPBC409.19c
SPBC409.21
SPBC428.03c
SPBC428.04
SPBC428.16c
SPBC428.20c
SPBC4B4.01c
SPBC4B4.03
SPBC4C3.05c
SPBC4C3.12
SPBC530.10c
SPBC530.12c
SPBC530.13
SPBC530.14c
SPBC557.03c
SPBC56F2.02
SPBC577.02
SPBC582.03
SPBC582.07c
SPBC646.08c
SPBC649.02
SPBC651.01c
SPBC660.14
SPBC685.06
SPBC6B1.10
SPBC725.05c
SPBC725.09c
SPBC725.16
SPBC800.02
SPBC800.04c
SPBC83.02c
SPBC83.08
SPBC839.04
SPBC839.05c
SPBC839.08c
SPBC839.13c
SPBC887.07
SPBC887.14c
SPBC887.18c
SPBC8D2.17
SPBC9B6.04c
SPBC9B6.06
SPBC9B6.08
SPBP16F5.06
SPBP22H7.08
SPBP35G2.03c
SPBP4G3.02
SPBP4H10.03
SPBP4H10.08
SPBP4H10.11c
SPBP8B7.06
SPBP8B7.10c
SPBP8B7.20c
SPBP8B7.21
SPCC1183.08c
SPCC11E10.04
SPCC1223.05c
SPCC1223.06
SPCC1223.12c
SPCC1259.01c
SPCC126.02c
SPCC126.05c
SPCC126.14
SPCC1281.05
SPCC1322.11
SPCC1322.15
SPCC1393.03
SPCC13B11.01
SPCC1450.02
SPCC1450.05c
SPCC162.12
SPCC1620.06c
SPCC1682.14
SPCC1682.16
SPCC16A11.11
SPCC16C4.07
SPCC16C4.11
SPCC16C4.13c
SPCC16C4.15
