P15398;2540873
O74378;2540991
P36602;2541695
O13834;2542537
Q92462;2541818
Q10251;2543241
Q9USZ1;2539776
P36583;2539649
O75001;2540630
P41410;2542749
O42644;2542937
P24487;2541526
Q09828;2543476
O94659;2541126
P10989;2540051
Q8WZK2;2541199
Q9UTJ8;2541635
Q09750;2540018
P40387;2542660
O94692;2541077
Q9USL3;2539323
P36612;2540939
O14126;3361462
O94268;2541274
P50530;2542492
O74445;2539189
Q9P7S7;2541814
Q9Y700;2540210
O36021;2543648
O60135;2540731
P36607;3361391
O13941;2541866
Q10428;2539379
Q9Y7X8;2541031
O13935;2541917
Q9HGQ2;2542264
P50520;2543444
Q9UT08;2543042
Q7Z9H9;3361401
Q9P6L5;2543336
Q10202;2540213
Q09898;2541599
Q09188;2540900
Q09175;2542576
O60184;2540656
O74745;2539685
O60173;2540518
P87145;2540489
O74752;2539671
Q09756;2542634
Q9UUA2;2541213
Q9P7G0;2542666
O59683;2540181
O59722;2541154
O59730;2540928
Q10056;2541468
P87158;2540649
Q9P4W9;2543486
Q9USW5;2540325
Q9US03;2543360
O13810;2542273
P08093;2540366
P08093;2541191
P08093;5802952
P28748;2540149
P41878;2543040
O94476;2539126
O74789;2540680
O74742;2540103
O13286;2542824
O74874;2538913
O74306;2539680
P52822;2543642
P87142;2542131
P40977;2541439
P00332;2538902
Q9Y7I8;2539801
Q09116;2543513
O94242;2538918
O43000;2540342
O13672;2540517
O94445;2543678
O74456;2539366
O14000;2541577
Q9UTK3;2542272
Q9Y7P4;2539321
Q9UUA1;2539266
P25295;2540223
Q9USY7;2539859
O13958;2541900
Q10281;2543298
Q1MTQ5;2539922
P36621;2538829
O74836;2539222
O14363;2540378
Q9C0Z7;2543581
P05752;2542870
O74895;2539470
Q9US22;2542370
Q9UTB3;2541578
O59680;2540456
Q9HDX9;2543394
Q9P6I0;2539632
O36022;2543252
Q9UUM7;2541160
Q9Y7L8;2541144
Q9P546;2543293
P87152;2540408
O94438;2541737
Q09781;2542817
O59810;2539425
P33075;2542704
O43071;2541168
P25457;2543448
O60143;2540841
P78817;2543384
P87050;2541590
Q10097;2543005
Q9US44;2543262
Q9P6J0;2539910
Q9P7B2;2543354
O14049;2541491
P10815;2540880
P36630;2543481
Q9Y7N0;2538955
Q9HGP4;2543426
O74962;2540815
Q10057;2541460
Q09779;3361454
O13943;2541794
O14206;2542610
Q04665;2541720
O59675;2540367
Q09757;2542629
Q09691;2541478
Q9UTB2;2541567
O74765;2540642
Q09818;2542325
O94640;3361342
O42991;2541175
O42848;2542006
O43004;2540373
O74889;2539561
Q9UTN3;3361384
P53695;2540348
P0CH07;2541768
P0CH07;2542428
P0CH06;2541768
P0CH06;2542428
Q9US07;2543563
P30821;2543686
Q9Y7Y4;2540944
Q09701;2541757
O42699;2539178
P05734;2540870
O75000;2539010
O75000;2539186
P28189;2542108
P07527;2539123
Q10367;2541825
Q9UTL4;2542825
Q9UUC1;2540950
O42706;2543337
O59714;2540266
O14354;2540271
P05732;2542093
P05732;2542725
Q10224;2542906
Q09191;2541910
Q10257;2543219
P40995;2542337
Q10192;2539678
Q8TFH1;3361377
P33520;2541153
O42867;2539286
O42867;2543453
P79013;2542904
P79013;2543120
Q10101;2542553
O14150;2540817
O14150;5802781
O74964;2540749
P40996;2541726
Q9Y8G3;2540727
P87061;2539047
O74854;2539324
O94754;2540180
O94754;3361064
Q9USZ6;2539913
Q9C107;2543387
Q9UU86;3361154
Q9P6P6;2543386
O14339;2540358
O59794;2539013
P41412;2541871
P01129;2540234
Q9Y7L0;2540308
O60144;2540812
O60144;2543559
Q9HGP5;2543390
O13960;3361538
O74411;2539046
O42899;2539826
O94323;2541177
Q10232;2543380
O74905;2539464
O74925;2539053
O14159;2543328
O14459;2542097
O94269;2541378
P87129;2542930
O14469;2541838
O14469;2541977
O14086;2541914
O94436;2541729
Q9USQ2;2540690
Q09893;2541562
O74856;2539041
O74368;2540379
P79016;2541084
P58234;2540447
Q9P544;2542750
O94373;2539732
O74772;2540434
O94715;2538892
Q9UTQ6;2542912
O42984;2541229
Q9P7J6;2539331
Q10353;2541855
O74452;2539358
O74563;2539307
O94522;2538836
O59865;2539848
O13784;2542430
Q92354;2541570
O74884;2538849
Q9UUE7;2539616
Q9P3W6;2543631
O74175;2543553
Q10234;2543504
P36623;2542085
Q01682;2540606
P08091;2541339
O60172;2540420
Q10058;2541471
O60118;2540088
Q1MTP1;2540452
O13814;2542383
Q9UT16;2543406
O59827;2539601
Q9Y7Q2;2538694
Q9UTH8;2541598
O13632;2540146
P05733;2538715
P59289;3361407
Q10191;2541634
O13339;2540601
O94363;2540853
O13629;2539766
O94686;2540665
Q9HGL8;2540682
O94238;2542425
P87127;2541713
O14224;2543214
Q9P7W7;2539718
O42846;2541989
Q9URT8;2538815
Q9UTP0;2542661
P52808;2542848
P36627;2542829
Q9UST2;2540235
P05764;2540806
O14213;2542938
Q9Y7M5;2541290
P50524;2540025
O60180;2540457
O43092;2539811
O14300;2542876
O74330;2539969
O14062;2539588
O74322;2540015
Q9P7N1;2541953
O13614;3361259
O14112;2542561
Q9UTQ8;2542951
Q9URX6;2543475
O43042;2541040
O74904;2539308
O74635;2541470
Q10143;2543378
Q10199;2540112
Q09822;2541975
O13836;2542540
Q09865;2542846
Q9UUC8;2540785
Q9Y808;2539712
P32834;3361468
O59774;2538927
O94398;2539103
O74956;2539594
Q09668;2543021
O74172;2540965
P79009;2543307
Q10421;2539085
Q10421;2542751
Q9US06;2543560
Q9Y7Y5;2540945
O94345;2540205
O74859;2539198
Q9UT94;2542476
Q92377;2540562
O74503;2539310
O94292;2541232
O74776;2540442
O42952;2540609
O42952;2542603
O94307;2540664
Q9UTF8;2542501
O94301;2541202
Q09796;2541467
O13606;2540241
O74825;2541011
Q9P370;2542462
Q09732;2543078
O14190;2543352
Q9UUK4;2542568
O13744;2542330
O94311;2540743
Q9P7T4;2543240
O74329;2539643
Q9USP6;2541305
O13602;2539962
O36018;2543574
Q9UUA4;2541043
O94395;2539090
O59748;2540879
O14450;2543106
O14093;2541725
Q9UTE8;2541949
P05767;2539277
O94377;2539609
Q9P7S3;2541438
O75002;2539036
O59677;2540507
Q9Y809;2540082
Q9P7K8;2540700
Q9UR27;2538813
O14369;2540528
O43045;2540984
Q09777;2541764
Q09838;2541806
O14280;2542160
Q10235;2542814
Q9HFE6;2541269
Q9USR7;2540910
Q09900;2541705
Q9HGK2;3361533
O43024;2540930
Q10368;2541850
Q9P7L9;2540621
O13932;2542068
Q9UUI1;2541997
O60096;2539986
P87176;2540618
O42651;2543011
Q9P7A0;2541326
O13734;2542788
Q10315;2542201
Q9US27;2542362
O36031;2543613
