YDL074C;BRE1;DAB responsive;JORGENSEN ORIGINAL LIST
YDL075W;RPL31A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDL082W;RPL13A;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDL083C;RPS16B;NAM responsive;JORGENSEN ORIGINAL LIST
YDL135C;RDI1;n/a;JORGENSEN ORIGINAL LIST
YDL136W;RPL35B;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDR027C;LUV1;NAM responsive;JORGENSEN ORIGINAL LIST
YDR060W;MAK21;n/a;JORGENSEN ORIGINAL LIST
YDR064W;RPS13;n/a;JORGENSEN ORIGINAL LIST
YDR065W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YDR075W;PPH3;DAB responsive;JORGENSEN ORIGINAL LIST
YDR081C;PDC2;n/a;JORGENSEN ORIGINAL LIST
YDR083W;RRP8;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR101C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR115W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YDR138W;HPR1;n/a;JORGENSEN ORIGINAL LIST
YDR140W;FYV9;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR156W;RPA14;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR159W;SAC3;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YDR195W;REF2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YDR226W;ADK1;n/a;JORGENSEN ORIGINAL LIST
YDR245W;MNN10;DAB unresponsive;JORGENSEN ORIGINAL LIST
YDR264C;AKR1;DAB responsive;JORGENSEN ORIGINAL LIST
YDR300C;PRO1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YDR337W;MRPS28;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YDR347W;MRP1;NAM responsive;JORGENSEN ORIGINAL LIST
YDR359C;VID21;DAB responsive;JORGENSEN ORIGINAL LIST
YDR364C;CDC40;n/a;JORGENSEN ORIGINAL LIST
YDR377W;ATP17;NAM responsive;JORGENSEN ORIGINAL LIST
YDR378C;LSM6;n/a;JORGENSEN ORIGINAL LIST
YDR382W;RPP2B;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDR404C;RPB7;n/a;JORGENSEN ORIGINAL LIST
YDR405W;MRP20;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YDR417C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR433W;KRE22;n/a;JORGENSEN ORIGINAL LIST
YDR450W;RPS18A;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR470C;n/a;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YDR500C;RPL37B;NAM unresponsive;JORGENSEN ORIGINAL LIST
YDR518W;EUG1;NAM responsive;JORGENSEN ORIGINAL LIST
YDR526C;YDR526C;n/a;JORGENSEN ORIGINAL LIST
YDR531W;YDR531W;n/a;JORGENSEN ORIGINAL LIST
YDR532C;KRE28;DAB responsive;JORGENSEN ORIGINAL LIST
YEL036C;ANP1;DAB unresponsive;JORGENSEN ORIGINAL LIST
YEL044W;n/a;DAB unresponsive;JORGENSEN ORIGINAL LIST
YEL050C;RML2;NAM responsive;JORGENSEN ORIGINAL LIST
YEL054C;RPL15B;n/a;JORGENSEN ORIGINAL LIST
YEL061C;CIN8;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YER014C;n/a;n/a;JORGENSEN ORIGINAL LIST
YER020W;GPA2;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YER037W;PHM8;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YER068W;MOT2;DAB responsive;JORGENSEN ORIGINAL LIST
YER070W;RNR1;n/a;JORGENSEN ORIGINAL LIST
YER087W;n/a;NAM responsive;JORGENSEN ORIGINAL LIST
YER103W;SSA4;NAM Intermed responsive;JORGENSEN ORIGINAL LIST
YER111C;SWI4;DAB unresponsive;JORGENSEN ORIGINAL LIST
YER116C;SLX8;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YER122C;GLO3;NAM responsive;JORGENSEN ORIGINAL LIST
YER125W;RSP5;n/a;JORGENSEN ORIGINAL LIST
YER151C;UBP3;DAB hyper responsive;JORGENSEN ORIGINAL LIST
YER154W;OXA1;NAM responsive;JORGENSEN ORIGINAL LIST
YER155C;BEM2;DAB unresponsive;JORGENSEN ORIGINAL LIST
YER167W;BCK2;DAB responsive;JORGENSEN ORIGINAL LIST
YFL001W;DEG1;DAB responsive;JORGENSEN ORIGINAL LIST
YFL039C;ACT1;n/a;JORGENSEN ORIGINAL LIST
YFR001W;LOC1;n/a;JORGENSEN ORIGINAL LIST
YFR004W;RPN11;n/a;JORGENSEN ORIGINAL LIST
YFR019W;FAB1;DAB intermed responsive;JORGENSEN ORIGINAL LIST
YFR036W;CDC26;DAB responsive;JORGENSEN ORIGINAL LIST
YFR052W;RPN12;n/a;JORGENSEN ORIGINAL LIST
YGL003C;CDH1;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YGL016W;PDR6;NAM Hyper responsive;JORGENSEN ORIGINAL LIST
YGL030W;RPL30;n/a;JORGENSEN ORIGINAL LIST
