Q9SJ20;816715
Q9FLH2;836704
F4IWV2;824707
Q9SVY0;824935
Q9LHA8;820438
Q9S9N1;838174
P22953;831020
P22954;831856
O65719;820102
Q9C7X7;842094
Q9C641;841097
F4IW10;819110
F4I420;844015
F4I410;844006
F4I421;844016
C0SUW8;838712
P43299;828153
P53496;820385
P0CJ46;818339
P0CJ46;824542
P0CJ47;818339
P0CJ47;824542
P53492;830841
P53497;823805
P53494;836056
Q96293;841347
Q96292;821411
Q9LTW8;820447
F4I6G9;839964
Q0WRY1;827780
O64753;818054
Q8L6Z9;828137
P92549;3890462
F4IMB5;815374
Q9FJW0;836899
Q9M2X5;824145
F4K4Q2;834962
Q9SL67;816533
Q9SZD4;829025
Q8GY23;842036
Q8H0T4;843368
Q9SEI2;819718
O04019;837431
Q9C6I8;841514
F4I4A6;837569
Q9LUM0;820647
Q0WUR5;829460
Q9SSJ8;843440
Q9XID0;840326
F4JD48;821231
Q9SEI3;834316
Q9MAK9;841065
Q9SL02;817756
Q9FG73;835690
Q8VYM6;828767
P17745;827784
Q38950;822171
Q38951;837892
Q38845;839135
Q9MAB3;819668
O04658;832770
O04656;832772
Q9XEA0;825755
Q9FZ57;838269
Q9SHG0;838270
Q9SYM4;844194
Q9T079;828864
P40941;831193
P31167;820005
O49447;828955
P42339;842344
Q0PCS3;821455
P48529;828779
P48528;835619
Q9C551;840087
Q9FIY7;834373
Q9FNI6;832338
Q8L601;816771
F4JJ52;830161
Q9FE52;832347
Q9FYC5;823619
F4J982;824469
Q9SHL5;816260
F4JN22;829702
Q9LT08;832420
Q9SLN5;819132
Q94A27;820638
Q7XZU1;832207
Q7XZU2;823397
Q7XZU3;838868
Q8RW97;838305
O48686;839032
O04539;843342
Q9LFQ3;831354
Q9SRH9;821265
Q9XIE1;842283
Q9XIK6;837584
Q9M060;824728
Q8L3Z8;828390
Q8VZS9;826799
Q8LPL5;831230
P82266;818192
Q42064;829770
P46286;816314
Q4PSL7;824282
P49204;830600
Q8VYK6;835955
Q93VH9;816243
Q8H156;835612
P41917;832124
P42825;832267
Q94AW8;823531
Q9SJD4;814974
Q9CAP8;844094
Q94K73;824983
Q67ZW2;826717
Q9SHI1;838293
P46864;828826
P46875;835556
F4JGP4;825867
Q07970;827876
P38557;825338
P38558;830445
Q42262;829619
Q9CAV0;819644
F4KFV7;833980
Q9SMX1;827134
P49227;833970
Q8LBI1;822138
O23515;827375
Q8VYF1;827451
Q940Z2;820416
O24456;838388
Q9LV28;821338
Q9C4Z6;841284
Q7XJN0;818665
Q9FKS5;834081
Q9LK29;822343
Q8VZB9;837356
P59231;832305
P59230;817299
P49692;819374
Q9LZH9;825462
Q9LHP1;820560
P60040;814652
P60039;819018
A4FVN8;837599
O48593;827443
Q9SSK1;843436
Q9SW96;835769
Q9SW95;819930
Q9LXG1;831372
Q9FLF0;833981
F4K2A1;830484
Q8W035;824729
