EVENT;DATETIME;COUNTRY;IP_ADDR;USER_AGENT;BROWSER_NAME;BROWSER_VERSION;PLATFORM;MORE_NFO1;MORE_NFO2;FILE
"NEW QUERY";"2015-02-10 13:18:23 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is A.thaliana";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
"PAGE VISIT";"2015-02-10 13:21:02 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 13:21:04 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is A.thaliana";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
"PAGE VISIT";"2015-02-10 13:25:44 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 13:25:47 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is A.thaliana";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
DOWNLOAD;"2015-02-10 13:27:21 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"file download";_query/jsonquery_150210_132547_49.txt;/home/zoltandul/public_html/orthologfindertool.com/download.php
DOWNLOAD;"2015-02-10 13:27:56 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"file download";_query/jsonquery_150210_132547_49.txt;/home/zoltandul/public_html/orthologfindertool.com/download.php
"PAGE VISIT";"2015-02-10 13:31:53 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:36:50 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:41:00 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:44:50 UTC";;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:46:04 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:53:06 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/600.5.3 (KHTML, like Gecko) Version/8.0.5 Safari/600.5.3";"Apple Safari";8.0.5;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:55:59 UTC";"United States";66.249.93.142;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36";"Google Chrome";27.0.1453;linux;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 13:56:00 UTC";"United States";66.249.93.148;"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Version/6.0 Mobile/10A525 Safari/8536.25";"Apple Safari";6.0;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 14:33:57 UTC";"United States";66.249.93.148;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Chrome/27.0.1453 Safari/537.36";"Google Chrome";27.0.1453;linux;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 14:33:57 UTC";"United States";66.249.93.148;"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko; Google Page Speed Insights) Version/6.0 Mobile/10A525 Safari/8536.25";"Apple Safari";6.0;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 15:31:31 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 15:32:51 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 15:52:29 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 15:52:38 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 15:53:16 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is A.thaliana";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
"PAGE VISIT";"2015-02-10 15:55:22 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY (1)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"PAGE VISIT";"2015-02-10 15:55:31 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"new visit on page QUERY RESULTS (2)";--;/home/zoltandul/public_html/orthologfindertool.com/main.php
"NEW QUERY";"2015-02-10 15:55:34 UTC";Italy;77.72.197.131;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.43 Safari/537.36";"Google Chrome";41.0.2272.43;mac;"organism name is A.thaliana";--;/home/zoltandul/public_html/orthologfindertool.com/_includes/page_2_analysis.php
